model,grouping,group,n,ships,gallery_count_mean,ship_max_day_fraction_mean,majority_global_fraction_mean,R1,R3,R5,Score
debug_ensemble_5normal,ship_concentration_bin,<=25%,436,28,163.09633027522935,0.16435570648772432,0.10335815379577941,0.0,0.0022935779816513763,0.011467889908256881,0.002981651376146789
debug_ensemble_5normal,ship_concentration_bin,25-50%,567,48,68.38271604938272,0.3493375426730131,0.16932882553056516,0.003527336860670194,0.019400352733686066,0.029982363315696647,0.013580246913580247
debug_ensemble_5normal,ship_concentration_bin,50-75%,214,14,62.71495327102804,0.598332820227196,0.1634071905033613,0.0,0.028037383177570093,0.08411214953271028,0.025233644859813085
debug_ensemble_5normal,ship_concentration_bin,>75%,276,10,17.391304347826086,0.9817937736937142,0.1649873854423414,0.38768115942028986,0.5579710144927537,0.6195652173913043,0.4851449275362319
projection_clip_trainonly,ship_concentration_bin,<=25%,436,28,163.09633027522935,0.16435570648772432,0.10335815379577941,0.0022935779816513763,0.011467889908256881,0.02981651376146789,0.01055045871559633
projection_clip_trainonly,ship_concentration_bin,25-50%,567,48,68.38271604938272,0.3493375426730131,0.16932882553056516,0.012345679012345678,0.03527336860670194,0.06349206349206349,0.02945326278659612
projection_clip_trainonly,ship_concentration_bin,50-75%,214,14,62.71495327102804,0.598332820227196,0.1634071905033613,0.014018691588785047,0.04672897196261682,0.07476635514018691,0.035981308411214954
projection_clip_trainonly,ship_concentration_bin,>75%,276,10,17.391304347826086,0.9817937736937142,0.1649873854423414,0.358695652173913,0.41304347826086957,0.47101449275362317,0.397463768115942
quick_target100_mel96_f16000,ship_concentration_bin,<=25%,436,28,163.09633027522935,0.16435570648772432,0.10335815379577941,0.0045871559633027525,0.0045871559633027525,0.016055045871559634,0.006880733944954129
quick_target100_mel96_f16000,ship_concentration_bin,25-50%,567,48,68.38271604938272,0.3493375426730131,0.16932882553056516,0.005291005291005291,0.01763668430335097,0.03527336860670194,0.014991181657848324
quick_target100_mel96_f16000,ship_concentration_bin,50-75%,214,14,62.71495327102804,0.598332820227196,0.1634071905033613,0.0,0.014018691588785047,0.07009345794392523,0.01822429906542056
quick_target100_mel96_f16000,ship_concentration_bin,>75%,276,10,17.391304347826086,0.9817937736937142,0.1649873854423414,0.34057971014492755,0.5471014492753623,0.5797101449275363,0.4503623188405797
quick_target100_trainonly_mel96_f16000,ship_concentration_bin,<=25%,436,28,163.09633027522935,0.16435570648772432,0.10335815379577941,0.0,0.0045871559633027525,0.01834862385321101,0.005045871559633028
quick_target100_trainonly_mel96_f16000,ship_concentration_bin,25-50%,567,48,68.38271604938272,0.3493375426730131,0.16932882553056516,0.001763668430335097,0.024691358024691357,0.042328042328042326,0.01675485008818342
quick_target100_trainonly_mel96_f16000,ship_concentration_bin,50-75%,214,14,62.71495327102804,0.598332820227196,0.1634071905033613,0.004672897196261682,0.04672897196261682,0.07476635514018691,0.03130841121495327
quick_target100_trainonly_mel96_f16000,ship_concentration_bin,>75%,276,10,17.391304347826086,0.9817937736937142,0.1649873854423414,0.3442028985507246,0.4384057971014493,0.4855072463768116,0.4007246376811594
robust_rows100_seed123_ep2_aug,ship_concentration_bin,<=25%,436,28,163.09633027522935,0.16435570648772432,0.10335815379577941,0.09862385321100918,0.19036697247706422,0.26605504587155965,0.1596330275229358
robust_rows100_seed123_ep2_aug,ship_concentration_bin,25-50%,567,48,68.38271604938272,0.3493375426730131,0.16932882553056516,0.03880070546737213,0.07407407407407407,0.1146384479717813,0.06455026455026455
robust_rows100_seed123_ep2_aug,ship_concentration_bin,50-75%,214,14,62.71495327102804,0.598332820227196,0.1634071905033613,0.018691588785046728,0.0514018691588785,0.0794392523364486,0.04065420560747664
robust_rows100_seed123_ep2_aug,ship_concentration_bin,>75%,276,10,17.391304347826086,0.9817937736937142,0.1649873854423414,0.0,0.0,0.014492753623188406,0.002898550724637681
debug_ensemble_5normal,global_spike_bin,<=10%,734,53,116.52588555858311,0.3050655419241956,0.048393517417699344,0.0027247956403269754,0.017711171662125342,0.047683923705722074,0.016212534059945508
debug_ensemble_5normal,global_spike_bin,10-20%,549,31,56.73952641165756,0.6003263181720633,0.15463877225189204,0.18032786885245902,0.2331511839708561,0.24772313296903462,0.20965391621129326
debug_ensemble_5normal,global_spike_bin,20-50%,95,7,29.68421052631579,0.8364878471839422,0.25822927945264035,0.08421052631578947,0.3263157894736842,0.3894736842105263,0.21789473684210528
debug_ensemble_5normal,global_spike_bin,>50%,115,9,74.81739130434782,0.3112015466176905,0.6663473650583909,0.0,0.0,0.02608695652173913,0.0052173913043478265
projection_clip_trainonly,global_spike_bin,<=10%,734,53,116.52588555858311,0.3050655419241956,0.048393517417699344,0.009536784741144414,0.035422343324250684,0.07084468664850137,0.029564032697547687
