filename,ship_id,ship_type,model,pred_top1,hit1,hit3,hit5,gallery_count,ship_active_days,ship_majority_month,ship_majority_date,ship_max_day_count,ship_max_day_fraction,ship_top3_day_fraction,majority_date_global_count,majority_date_global_month_count,majority_date_global_fraction,ship_concentration_bin,global_spike_bin,gallery_count_bin
task2_val_000001.wav,216,A_SmallWorking,quick_target100_mel96_f16000,7,0,0,0,73,11,2020-11,2020-11-23,20,0.273972602739726,0.4794520547945205,37,451,0.082039911308204,25-50%,<=10%,Q3
task2_val_000002.wav,307,A_SmallWorking,quick_target100_mel96_f16000,136,0,0,0,65,5,2020-11,2020-11-26,21,0.3230769230769231,0.8615384615384616,21,451,0.04656319290465632,25-50%,<=10%,Q3
task2_val_000003.wav,155,A_SmallWorking,quick_target100_mel96_f16000,136,0,0,0,181,22,2020-11,2020-11-24,17,0.09392265193370165,0.27624309392265195,30,451,0.06651884700665188,<=25%,<=10%,Q4_high_count
task2_val_000004.wav,159,A_SmallWorking,quick_target100_mel96_f16000,136,0,0,0,49,3,2021-02,2021-02-12,27,0.5510204081632653,1.0,139,912,0.1524122807017544,50-75%,10-20%,Q2
task2_val_000005.wav,61,A_SmallWorking,quick_target100_mel96_f16000,126,0,0,0,105,9,2020-08,2020-08-21,24,0.22857142857142856,0.5047619047619047,164,1312,0.125,<=25%,10-20%,Q4_high_count
task2_val_000006.wav,201,C_Passenger,quick_target100_mel96_f16000,136,0,0,0,100,2,2021-02,2021-02-14,66,0.66,1.0,148,912,0.16228070175438597,50-75%,10-20%,Q4_high_count
task2_val_000007.wav,52,D_LargeShip,quick_target100_mel96_f16000,94,0,0,0,70,5,2020-08,2020-08-01,24,0.34285714285714286,0.7142857142857143,74,1312,0.056402439024390245,25-50%,<=10%,Q3
task2_val_000008.wav,53,C_Passenger,quick_target100_mel96_f16000,136,0,0,0,141,8,2021-01,2021-01-21,33,0.23404255319148937,0.5319148936170213,47,1323,0.03552532123960695,<=25%,<=10%,Q4_high_count
task2_val_000009.wav,208,C_Passenger,quick_target100_mel96_f16000,136,0,0,0,37,9,2020-12,2020-12-04,6,0.16216216216216217,0.4864864864864865,309,1811,0.1706239646604086,<=25%,10-20%,Q2
task2_val_000010.wav,276,A_SmallWorking,quick_target100_mel96_f16000,126,0,0,0,252,14,2021-02,2021-02-13,29,0.11507936507936507,0.3055555555555556,79,912,0.08662280701754387,<=25%,<=10%,Q4_high_count
task2_val_000011.wav,298,A_SmallWorking,quick_target100_mel96_f16000,136,0,0,0,105,9,2020-11,2020-11-12,55,0.5238095238095238,0.7333333333333333,55,451,0.12195121951219512,50-75%,10-20%,Q4_high_count
task2_val_000012.wav,348,C_Passenger,quick_target100_mel96_f16000,136,0,0,0,39,11,2021-01,2021-01-10,7,0.1794871794871795,0.4358974358974359,65,1323,0.0491307634164777,<=25%,<=10%,Q2
task2_val_000013.wav,20,C_Passenger,quick_target100_mel96_f16000,136,0,0,0,133,17,2020-12,2020-12-02,23,0.17293233082706766,0.41353383458646614,43,1811,0.023743787962451683,<=25%,<=10%,Q4_high_count
task2_val_000014.wav,242,D_LargeShip,quick_target100_mel96_f16000,94,0,1,1,12,1,2020-07,2020-07-31,12,1.0,1.0,65,242,0.26859504132231404,>75%,20-50%,Q1_low_count
task2_val_000015.wav,305,A_SmallWorking,quick_target100_mel96_f16000,143,0,0,0,112,9,2020-12,2020-12-04,21,0.1875,0.5089285714285714,309,1811,0.1706239646604086,<=25%,10-20%,Q4_high_count
task2_val_000016.wav,30,A_SmallWorking,quick_target100_mel96_f16000,136,0,0,0,422,19,2020-12,2020-12-26,46,0.10900473933649289,0.2914691943127962,80,1811,0.04417448923246825,<=25%,<=10%,Q4_high_count
task2_val_000017.wav,20,C_Passenger,quick_target100_mel96_f16000,136,0,0,0,133,17,2020-12,2020-12-02,23,0.17293233082706766,0.41353383458646614,43,1811,0.023743787962451683,<=25%,<=10%,Q4_high_count
task2_val_000018.wav,97,D_LargeShip,quick_target100_mel96_f16000,94,0,0,0,66,3,2020-07,2020-07-31,38,0.5757575757575758,1.0,65,242,0.26859504132231404,50-75%,20-50%,Q3
task2_val_000019.wav,277,A_SmallWorking,quick_target100_mel96_f16000,136,0,0,0,166,18,2020-12,2020-12-11,21,0.12650602409638553,0.35542168674698793,36,1811,0.019878520154610713,<=25%,<=10%,Q4_high_count
task2_val_000020.wav,163,A_SmallWorking,quick_target100_mel96_f16000,136,0,0,0,139,7,2020-12,2020-12-21,46,0.33093525179856115,0.6762589928057554,95,1811,0.05245720596355605,25-50%,<=10%,Q4_high_count
task2_val_000021.wav,154,D_LargeShip,quick_target100_mel96_f16000,94,0,0,0,50,4,2020-07,2020-07-30,19,0.38,0.92,42,242,0.17355371900826447,25-50%,10-20%,Q2
task2_val_000022.wav,153,B_MotorBoat,quick_target100_mel96_f16000,94,0,0,0,29,1,2020-08,2020-08-14,29,1.0,1.0,85,1312,0.06478658536585366,>75%,<=10%,Q1_low_count
