model,grouping,group,n,pred_ships,true_ships,pred_gallery_count_mean,pred_ship_max_day_fraction_mean,pred_majority_global_fraction_mean,hit1,hit3,hit5,Score
debug_ensemble_5normal,pred_ship_concentration_bin,25-50%,99,26,52,40.98989898989899,0.36501545393347745,0.11963069618426385,0.020202020202020204,0.050505050505050504,0.06060606060606061,0.03737373737373738
debug_ensemble_5normal,pred_ship_concentration_bin,50-75%,59,7,37,28.983050847457626,0.564576259890937,0.08053066066525559,0.0,0.01694915254237288,0.03389830508474576,0.011864406779661017
debug_ensemble_5normal,pred_ship_concentration_bin,<=25%,25,11,18,48.72,0.19439665753165156,0.31493055429560346,0.0,0.12,0.12,0.06
debug_ensemble_5normal,pred_ship_concentration_bin,>75%,1310,9,100,9.737404580152672,0.9974627408215194,0.16692180906409482,0.0816793893129771,0.12442748091603054,0.15267175572519084,0.10870229007633586
projection_clip_trainonly,pred_ship_concentration_bin,25-50%,236,25,69,47.6228813559322,0.3726632619850984,0.12687557418984755,0.029661016949152543,0.05508474576271186,0.11440677966101695,0.05423728813559322
projection_clip_trainonly,pred_ship_concentration_bin,50-75%,50,8,31,41.58,0.5613703377367973,0.1596440662170475,0.06,0.08,0.1,0.07400000000000001
projection_clip_trainonly,pred_ship_concentration_bin,<=25%,24,5,15,66.54166666666667,0.21084449404761899,0.22615376175085763,0.041666666666666664,0.041666666666666664,0.125,0.058333333333333334
projection_clip_trainonly,pred_ship_concentration_bin,>75%,1183,9,100,11.597633136094675,0.994058688564183,0.17065286646828332,0.08368554522400676,0.11073541842772612,0.1352493660185968,0.10211327134404058
quick_target100_mel96_f16000,pred_ship_concentration_bin,25-50%,127,35,57,46.732283464566926,0.3668858772106008,0.12092050288675811,0.023622047244094488,0.03937007874015748,0.07874015748031496,0.03937007874015748
quick_target100_mel96_f16000,pred_ship_concentration_bin,50-75%,45,12,31,39.24444444444445,0.5655225290948711,0.17961276900400244,0.0,0.044444444444444446,0.08888888888888889,0.03111111111111111
quick_target100_mel96_f16000,pred_ship_concentration_bin,<=25%,59,16,35,58.779661016949156,0.18119834131542364,0.23057635869225016,0.03389830508474576,0.0847457627118644,0.1016949152542373,0.06271186440677966
quick_target100_mel96_f16000,pred_ship_concentration_bin,>75%,1262,9,99,8.849445324881142,0.9955022262470757,0.15928752324123935,0.07448494453248812,0.12202852614896989,0.14421553090332806,0.10269413629160064
quick_target100_trainonly_mel96_f16000,pred_ship_concentration_bin,25-50%,163,37,72,44.0920245398773,0.3673524601976353,0.1181444200125798,0.006134969325153374,0.03067484662576687,0.05521472392638037,0.02331288343558282
quick_target100_trainonly_mel96_f16000,pred_ship_concentration_bin,50-75%,93,9,37,28.204301075268816,0.5597998313380118,0.06720903222771119,0.010752688172043012,0.08602150537634409,0.15053763440860216,0.061290322580645165
