month,date,count
2020-07,2020-07-23,3
2020-07,2020-07-24,21
2020-07,2020-07-27,69
2020-07,2020-07-28,14
2020-07,2020-07-29,28
2020-07,2020-07-30,42
2020-07,2020-07-31,65
2020-08,2020-08-01,74
2020-08,2020-08-02,80
2020-08,2020-08-03,27
2020-08,2020-08-04,17
2020-08,2020-08-05,25
2020-08,2020-08-06,8
2020-08,2020-08-11,56
2020-08,2020-08-12,10
2020-08,2020-08-13,49
2020-08,2020-08-14,85
2020-08,2020-08-15,43
2020-08,2020-08-16,47
2020-08,2020-08-17,56
2020-08,2020-08-18,224
2020-08,2020-08-19,222
2020-08,2020-08-21,164
2020-08,2020-08-22,105
2020-08,2020-08-23,20
2020-09,2020-09-25,155
2020-09,2020-09-26,43
2020-09,2020-09-28,17
2020-09,2020-09-29,17
2020-10,2020-10-05,4
2020-10,2020-10-10,5
2020-10,2020-10-27,4
2020-10,2020-10-29,32
2020-10,2020-10-30,275
2020-10,2020-10-31,93
2020-11,2020-11-01,22
2020-11,2020-11-02,15
2020-11,2020-11-03,13
2020-11,2020-11-04,19
2020-11,2020-11-05,11
2020-11,2020-11-06,9
2020-11,2020-11-07,7
2020-11,2020-11-08,11
2020-11,2020-11-09,11
2020-11,2020-11-10,11
2020-11,2020-11-11,17
2020-11,2020-11-12,55
2020-11,2020-11-13,2
2020-11,2020-11-14,3
2020-11,2020-11-15,9
2020-11,2020-11-18,3
2020-11,2020-11-20,7
2020-11,2020-11-21,3
2020-11,2020-11-22,38
2020-11,2020-11-23,37
2020-11,2020-11-24,30
2020-11,2020-11-25,18
2020-11,2020-11-26,21
2020-11,2020-11-27,7
2020-11,2020-11-28,32
2020-11,2020-11-29,17
2020-11,2020-11-30,23
2020-12,2020-12-01,21
2020-12,2020-12-02,43
2020-12,2020-12-03,37
2020-12,2020-12-04,309
2020-12,2020-12-05,107
2020-12,2020-12-06,33
2020-12,2020-12-07,24
2020-12,2020-12-08,14
2020-12,2020-12-09,33
2020-12,2020-12-10,25
2020-12,2020-12-11,36
2020-12,2020-12-12,59
2020-12,2020-12-13,44
2020-12,2020-12-14,36
2020-12,2020-12-15,59
2020-12,2020-12-16,68
2020-12,2020-12-17,63
2020-12,2020-12-18,44
2020-12,2020-12-19,32
2020-12,2020-12-20,57
2020-12,2020-12-21,95
2020-12,2020-12-22,59
2020-12,2020-12-23,37
2020-12,2020-12-24,17
2020-12,2020-12-25,74
2020-12,2020-12-26,80
2020-12,2020-12-27,80
2020-12,2020-12-28,66
2020-12,2020-12-29,93
2020-12,2020-12-30,43
2020-12,2020-12-31,23
2021-01,2021-01-01,22
2021-01,2021-01-02,28
2021-01,2021-01-03,23
2021-01,2021-01-04,36
2021-01,2021-01-05,43
2021-01,2021-01-06,24
2021-01,2021-01-07,97
2021-01,2021-01-08,206
2021-01,2021-01-09,27
2021-01,2021-01-10,65
2021-01,2021-01-11,30
2021-01,2021-01-12,53
2021-01,2021-01-13,68
2021-01,2021-01-14,31
2021-01,2021-01-15,25
2021-01,2021-01-16,44
2021-01,2021-01-17,16
2021-01,2021-01-18,12
2021-01,2021-01-19,49
2021-01,2021-01-20,42
2021-01,2021-01-21,47
2021-01,2021-01-22,71
2021-01,2021-01-23,20
2021-01,2021-01-24,22
2021-01,2021-01-25,26
2021-01,2021-01-26,11
2021-01,2021-01-27,32
2021-01,2021-01-28,43
2021-01,2021-01-29,38
2021-01,2021-01-30,25
2021-01,2021-01-31,47
2021-02,2021-02-01,55
2021-02,2021-02-02,16
2021-02,2021-02-11,208
2021-02,2021-02-12,139
2021-02,2021-02-13,79
2021-02,2021-02-14,148
2021-02,2021-02-15,49
2021-02,2021-02-16,58
2021-02,2021-02-17,46
2021-02,2021-02-18,33
2021-02,2021-02-19,11
2021-02,2021-02-20,42
2021-02,2021-02-21,28
