retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
topk,10.0,,0.0,0.03750837240455459,0.09310113864701942,0.13663764233087744,0.0740120562625586
topk,5.0,,0.0,0.030810448760884127,0.08573342263898191,0.12592096450100468,0.06630944407233758
topk,3.0,,0.0,0.02679169457468185,0.07501674480910918,0.11721366376423309,0.059343603482920296
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.02277294038847957,0.06363027461486939,0.09845947756195579,0.05016744809109176
hybrid,3.0,"(0.3, 0.5, 0.2)",0.03,0.015405224380442064,0.06697923643670463,0.09511051574012057,0.04681848626925653
hybrid,3.0,"(0.3, 0.5, 0.2)",0.02,0.018754186202277295,0.05961152042866711,0.09444072337575352,0.04614869390488949
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.01942397856664434,0.05760214333556597,0.09578030810448761,0.04614869390488949
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.01406563965170797,0.06898861352980576,0.09176155391828533,0.046081714668452775
hybrid,3.0,"(0.4, 0.4, 0.2)",0.03,0.01406563965170797,0.06496985934360348,0.09645010046885466,0.04581379772270597
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.020763563295378432,0.05425318151373074,0.09377093101138648,0.045411922304085736
max,,,0.03,0.01406563965170797,0.06630944407233758,0.09176155391828533,0.045277963831212326
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.018754186202277295,0.055592766242464835,0.09444072337575352,0.044943067649028806
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.014735432016075016,0.06095110515740121,0.09377093101138648,0.044407233757535164
topk,3.0,,0.03,0.012726054922973878,0.0622906898861353,0.09444072337575352,0.043938379102478234
topk,10.0,,0.005,0.015405224380442064,0.056932350971198926,0.09377093101138648,0.043536503683858
hybrid,3.0,"(0.5, 0.3, 0.2)",0.03,0.014735432016075016,0.05961152042866711,0.0884125920964501,0.04293369055592766
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.015405224380442064,0.06028131279303416,0.08573342263898191,0.04293369055592766
topk,5.0,,0.03,0.008707300736771601,0.06363027461486939,0.09645010046885466,0.04273275284661755
max,,,0.0,0.021433355659745478,0.05023442732752847,0.08372404554588078,0.04253181513730743
topk,3.0,,0.02,0.012056262558606833,0.06095110515740121,0.09109176155391828,0.04253181513730743
