retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
prototype,,,0.02,0.05961152042866711,0.10917615539182854,0.13730743469524448,0.09002009377093102
prototype,,,0.03,0.05157401205626256,0.11520428667113194,0.13998660415271266,0.0883456128600134
hybrid,3.0,"(0.6, 0.3, 0.1)",0.02,0.05626255860683188,0.10984594775619558,0.13395847287340926,0.08787675820495647
hybrid,3.0,"(0.5, 0.3, 0.2)",0.02,0.055592766242464835,0.10984594775619558,0.1332886805090422,0.08740790354989952
hybrid,3.0,"(0.6, 0.3, 0.1)",0.03,0.05023442732752847,0.11520428667113194,0.13596784996651037,0.0868720696584059
hybrid,5.0,"(0.6, 0.3, 0.1)",0.02,0.05425318151373074,0.10783657066309445,0.13395847287340926,0.08626925653047555
hybrid,5.0,"(0.5, 0.3, 0.2)",0.02,0.0535833891493637,0.10917615539182854,0.1332886805090422,0.08620227729403884
hybrid,10.0,"(0.6, 0.3, 0.1)",0.03,0.04822505023442733,0.11319490957803081,0.13864701942397856,0.08580040187541862
hybrid,5.0,"(0.6, 0.3, 0.1)",0.03,0.048894842598794376,0.11319490957803081,0.13663764233087744,0.08573342263898193
hybrid,3.0,"(0.4, 0.4, 0.2)",0.02,0.0535833891493637,0.10783657066309445,0.13127930341594105,0.0853985264567984
hybrid,3.0,"(0.4, 0.4, 0.2)",0.03,0.04956463496316142,0.11185532484929672,0.13395847287340926,0.08513060951105157
hybrid,5.0,"(0.5, 0.3, 0.2)",0.03,0.048894842598794376,0.11185532484929672,0.13529805760214333,0.08506363027461487
hybrid,3.0,"(0.3, 0.5, 0.2)",0.03,0.04956463496316142,0.11118553248492967,0.1346282652377763,0.08506363027461486
hybrid,10.0,"(0.5, 0.3, 0.2)",0.03,0.04822505023442733,0.11118553248492967,0.13797722705961152,0.08506363027461486
hybrid,3.0,"(0.5, 0.3, 0.2)",0.03,0.04956463496316142,0.11185532484929672,0.1332886805090422,0.08499665103817816
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.048894842598794376,0.11118553248492967,0.1346282652377763,0.08472873409243134
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.04822505023442733,0.11051574012056263,0.1346282652377763,0.08419290020093771
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.05291359678499665,0.10515740120562625,0.130609511051574,0.084125920964501
hybrid,10.0,"(0.4, 0.4, 0.2)",0.03,0.047555257870060284,0.10984594775619558,0.13663764233087744,0.0840589417280643
hybrid,3.0,"(0.3, 0.5, 0.2)",0.02,0.05157401205626256,0.1058271935699933,0.12926992632283993,0.08338914936369726
max,,,0.03,0.05157401205626256,0.10515740120562625,0.12659075686537175,0.0826523777628935
hybrid,10.0,"(0.5, 0.3, 0.2)",0.02,0.048894842598794376,0.10314802411252512,0.1346282652377763,0.08231748158070998
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.04554588077695914,0.10783657066309445,0.13596784996651037,0.08231748158070998
hybrid,10.0,"(0.6, 0.3, 0.1)",0.02,0.04956463496316142,0.10247823174815807,0.13261888814467515,0.08204956463496316
topk,3.0,,0.03,0.046215673141326186,0.10850636302746149,0.130609511051574,0.08178164768921634
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.04822505023442733,0.10448760884125921,0.130609511051574,0.08158070997990623
topk,5.0,,0.03,0.044876088412592094,0.10515740120562625,0.13395847287340926,0.08077695914266578
max,,,0.02,0.05023442732752847,0.0971198928332217,0.1245813797722706,0.07916945746818486
hybrid,10.0,"(0.4, 0.4, 0.2)",0.02,0.042866711319490956,0.09444072337575352,0.13127930341594105,0.07602143335565974
prototype,,,0.01,0.04554588077695914,0.09042196918955124,0.12525117213663764,0.07494976557267247
topk,3.0,,0.02,0.041527126590756865,0.09243134628265237,0.12056262558606833,0.0726054922973878
hybrid,10.0,"(0.3, 0.5, 0.2)",0.02,0.038178164768921635,0.08908238446081715,0.1245813797722706,0.07073007367716008
topk,5.0,,0.02,0.03415941058271936,0.08573342263898191,0.11185532484929672,0.06517079705291359
topk,10.0,,0.0,0.030810448760884127,0.08439383791024782,0.12123241795043536,0.06496985934360348
topk,10.0,,0.03,0.02478231748158071,0.09042196918955124,0.12726054922973878,0.06496985934360348
hybrid,3.0,"(0.6, 0.3, 0.1)",0.01,0.03884795713328868,0.07702612190221031,0.11051574012056263,0.06463496316141995
hybrid,3.0,"(0.5, 0.3, 0.2)",0.01,0.034829202947086406,0.07568653717347622,0.10984594775619558,0.062089752176825184
hybrid,5.0,"(0.6, 0.3, 0.1)",0.01,0.033489618218352314,0.07300736771600803,0.10515740120562625,0.059678499665103815
topk,5.0,,0.0,0.027461486939048894,0.07501674480910918,0.11520428667113194,0.0592766242464836
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.026121902210314803,0.07501674480910918,0.11788345612860013,0.05914266577361017
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.025452109845947757,0.07635632953784327,0.11654387139986604,0.05894172806430007
hybrid,5.0,"(0.5, 0.3, 0.2)",0.01,0.032150033489618215,0.06898861352980576,0.10247823174815807,0.057267247153382446
