weights,w_r100s123_conservative,w_r80s123_balanced,w_r100s777_conservative,w_r100s123_val086,official_R@1,official_R@3,official_R@5,official_Score,official_top1_unique,official_top1_max_fraction,robust_mean_score,robust_min_score,robust_std_score,robust_mean_top1_max_fraction,balanced_score,conservative_score
"(0.0, 0.95, 0.05, 0.0)",0.0,0.95,0.05,0.0,0.046215673141326186,0.0971198928332217,0.1480241125251172,0.08184862692565305,33,0.5699933020763563,0.12003604484469443,0.09417019275975552,0.022926239101376193,0.48182376082889944,0.16347077283877176,0.12893372330553082
"(0.0, 1.0, 0.0, 0.0)",0.0,1.0,0.0,0.0,0.046215673141326186,0.09578030810448761,0.14601473543201607,0.08104487608841258,33,0.5646349631614199,0.1199355020888547,0.09393511988716502,0.022928472888348348,0.4771202484020195,0.1632526936466368,0.12801243603199508
"(1.0, 0.0, 0.0, 0.0)",1.0,0.0,0.0,0.0,0.04554588077695914,0.09912926992632284,0.14601473543201607,0.08171466845277964,31,0.5833891493636972,0.12019127835194401,0.0948850305021117,0.021809143421218553,0.5035051985626616,0.1618400896512249,0.1291571837038355
"(0.0, 0.9, 0.1, 0.0)",0.0,0.9,0.1,0.0,0.04554588077695914,0.09645010046885466,0.1480241125251172,0.0813127930341594,33,0.5746818486269256,0.11976559321880875,0.09366494603472547,0.022993989086744906,0.4844582222313939,0.16170858197629204,0.12814526605152216
"(0.05, 0.95, 0.0, 0.0)",0.05,0.95,0.0,0.0,0.04420629604822505,0.09578030810448761,0.14601473543201607,0.08004018754186201,35,0.5713328868050904,0.11964708950739208,0.09464033850493653,0.022253449882495863,0.482977513693074,0.1613075132809588,0.12736035679433028
"(0.05, 0.9, 0.05, 0.0)",0.05,0.9,0.05,0.0,0.04554588077695914,0.09511051574012057,0.14601473543201607,0.08050904219691896,34,0.5766912257200268,0.11997657352422457,0.09454630935590033,0.022294817781052877,0.48656788873656875,0.1612550865410897,0.12778219687486914
"(0.0, 0.65, 0.35, 0.0)",0.0,0.65,0.35,0.0,0.04822505023442733,0.0971198928332217,0.14668452779638314,0.0825853985264568,34,0.5847287340924313,0.11970733741773669,0.09333646175504458,0.02199702086202443,0.49517687293231677,0.16125165670785108,0.12925362940397908
"(0.0, 0.7, 0.3, 0.0)",0.0,0.7,0.3,0.0,0.047555257870060284,0.09578030810448761,0.14869390488948425,0.08225050234427328,33,0.5813797722705961,0.11985062539764857,0.09258564054434537,0.022523249118322413,0.4935696554597923,0.16118698217350513,0.12854332261644597
"(0.05, 0.75, 0.15, 0.05)",0.05,0.75,0.15,0.05,0.044876088412592094,0.09979906229068988,0.14668452779638314,0.08171466845277964,31,0.5867381111855325,0.12000078564491687,0.09474425152510557,0.021633374556926915,0.4937759833739851,0.16107686318241943,0.12908679421533242
"(0.0, 0.75, 0.25, 0.0)",0.0,0.75,0.25,0.0,0.04688546550569324,0.09444072337575352,0.14936369725385132,0.08164768921634294,33,0.580040187541862,0.11969327118243059,0.09347724073205069,0.022005555455289715,0.4906373079618523,0.16107355263351955,0.1283863095823683
