weights,split,R@1,R@3,R@5,Score,top1_unique_ships,top1_max_ship_fraction,top1_entropy
"(0.0, 0.0, 0.0, 1.0)",random20,0.08643815201192251,0.1602086438152012,0.22950819672131148,0.1371833084947839,29,0.5178837555886736,2.006347494498604
"(0.0, 0.0, 0.0, 1.0)",latest20,0.06259314456035768,0.14307004470938897,0.20938897168405365,0.11609538002980627,37,0.5141579731743666,1.9186310074508666
"(0.0, 0.0, 0.0, 1.0)",earliest20,0.06408345752608048,0.14008941877794337,0.19597615499254845,0.11326378539493294,36,0.26453055141579734,2.6585337170730545
"(0.0, 0.0, 0.0, 1.0)",month_latest,0.038010323791647115,0.10464570624120131,0.15297982167996246,0.08099483810417643,41,0.2322853120600657,2.7117020585194633
"(0.0, 0.0, 0.0, 1.0)",ais_group_random20,0.028678890456041373,0.09355900329102021,0.1377527033380348,0.06995768688293372,38,0.22849083215796898,2.6155000129446897
"(0.0, 0.0, 0.05, 0.95)",random20,0.08718330849478391,0.16393442622950818,0.23248882265275708,0.1392697466467958,29,0.5424739195230999,1.9329911635245782
"(0.0, 0.0, 0.05, 0.95)",latest20,0.06482861400894188,0.14754098360655737,0.20938897168405365,0.11855439642324889,35,0.53725782414307,1.836175828605894
"(0.0, 0.0, 0.05, 0.95)",earliest20,0.06855439642324888,0.14307004470938897,0.19821162444113263,0.11684053651266765,37,0.30327868852459017,2.6004226939635626
"(0.0, 0.0, 0.05, 0.95)",month_latest,0.03754106053496011,0.10746128578132333,0.15391834819333647,0.08179258564054435,42,0.24636320976067574,2.6537530828655833
"(0.0, 0.0, 0.05, 0.95)",ais_group_random20,0.0305594734367654,0.09590973201692525,0.1457451810061119,0.07320169252468264,39,0.25716972261401033,2.57065831191737
"(0.0, 0.0, 0.1, 0.9)",random20,0.08494783904619971,0.1661698956780924,0.23546944858420268,0.1394187779433681,31,0.5566318926974665,1.8901509884137515
"(0.0, 0.0, 0.1, 0.9)",latest20,0.06855439642324888,0.1453055141579732,0.21833084947839046,0.12153502235469449,35,0.5514157973174366,1.793891641291371
"(0.0, 0.0, 0.1, 0.9)",earliest20,0.07302533532041729,0.1453055141579732,0.19746646795827125,0.11959761549925485,38,0.3405365126676602,2.5407971614618208
"(0.0, 0.0, 0.1, 0.9)",month_latest,0.03847958704833412,0.10417644298451431,0.15954950727358047,0.08240262787423744,43,0.24870952604411076,2.6194494023114014
"(0.0, 0.0, 0.1, 0.9)",ais_group_random20,0.03432063939821345,0.09920075223319229,0.15138692994828395,0.0771979313587212,37,0.3140573577809121,2.4879805544644187
"(0.0, 0.0, 0.15, 0.85)",random20,0.08494783904619971,0.1721311475409836,0.23770491803278687,0.14165424739195231,29,0.5648286140089419,1.8506103440150157
"(0.0, 0.0, 0.15, 0.85)",latest20,0.07078986587183309,0.1512667660208644,0.21982116244411326,0.12473919523099851,35,0.563338301043219,1.7588987922969797
"(0.0, 0.0, 0.15, 0.85)",earliest20,0.07824143070044709,0.14381520119225039,0.19746646795827125,0.12175856929955291,37,0.37332339791356184,2.4599114657429895
"(0.0, 0.0, 0.15, 0.85)",month_latest,0.04317221961520413,0.10370717972782731,0.16142656030032848,0.08498357578601595,44,0.24824026278742375,2.605296695323811
"(0.0, 0.0, 0.15, 0.85)",ais_group_random20,0.037611659614480486,0.0996708979783733,0.15608838740009404,0.07992477668077104,36,0.3526093088857546,2.4286955457579915
"(0.0, 0.0, 0.2, 0.8)",random20,0.08345752608047691,0.1751117734724292,0.2429210134128167,0.14284649776453054,30,0.5782414307004471,1.8042634928470354
"(0.0, 0.0, 0.2, 0.8)",latest20,0.07078986587183309,0.15201192250372578,0.22578241430700446,0.12615499254843515,35,0.5707898658718331,1.7348919682881716
"(0.0, 0.0, 0.2, 0.8)",earliest20,0.07898658718330849,0.146795827123696,0.19672131147540983,0.122876304023845,38,0.3979135618479881,2.413390910515604
"(0.0, 0.0, 0.2, 0.8)",month_latest,0.044110746128578134,0.10464570624120131,0.1651806663538245,0.08648521820741437,43,0.24777099953073675,2.5764564305309903
"(0.0, 0.0, 0.2, 0.8)",ais_group_random20,0.039492242595204514,0.0996708979783733,0.1607898448519041,0.08180535966149508,36,0.3921015514809591,2.3631749612256856
"(0.0, 0.0, 0.25, 0.75)",random20,0.08271236959761549,0.17734724292101342,0.2459016393442623,0.14374068554396424,30,0.587183308494784,1.7652909680302982
"(0.0, 0.0, 0.25, 0.75)",latest20,0.07302533532041729,0.1527570789865872,0.22354694485842028,0.12704918032786885,33,0.5842026825633383,1.6900360596536235
"(0.0, 0.0, 0.25, 0.75)",earliest20,0.08047690014903129,0.1497764530551416,0.20119225037257824,0.12540983606557377,34,0.4187779433681073,2.352493052580923
"(0.0, 0.0, 0.25, 0.75)",month_latest,0.04504927264195214,0.10417644298451431,0.1651806663538245,0.08681370248709527,41,0.2397935241670577,2.562163668773658
"(0.0, 0.0, 0.25, 0.75)",ais_group_random20,0.04278326281147156,0.10296191819464035,0.1607898448519041,0.0844381758345087,35,0.43535496003761165,2.2750620801129533
"(0.0, 0.0, 0.3, 0.7)",random20,0.08271236959761549,0.17734724292101342,0.2444113263785395,0.14344262295081966,30,0.5923994038748137,1.7430724922859593
"(0.0, 0.0, 0.3, 0.7)",latest20,0.07302533532041729,0.1527570789865872,0.22578241430700446,0.1274962742175857,33,0.5916542473919523,1.659591492019664
"(0.0, 0.0, 0.3, 0.7)",earliest20,0.08122205663189269,0.1527570789865872,0.20640834575260805,0.12771982116244412,34,0.4426229508196721,2.2896612253217725
"(0.0, 0.0, 0.3, 0.7)",month_latest,0.045518535898639134,0.10370717972782731,0.1670577193805725,0.08728296574378226,39,0.2346316283435007,2.546244957913053
"(0.0, 0.0, 0.3, 0.7)",ais_group_random20,0.0465444287729196,0.10437235543018336,0.1622002820874471,0.08702397743300422,36,0.47390691114245415,2.1951615259374595
"(0.0, 0.0, 0.35, 0.65)",random20,0.08271236959761549,0.1780923994038748,0.2421758569299553,0.14321907600596126,30,0.5983606557377049,1.7223677384508065
"(0.0, 0.0, 0.35, 0.65)",latest20,0.07377049180327869,0.15424739195231,0.22876304023845007,0.12891207153502235,31,0.5938897168405365,1.649377334837117
"(0.0, 0.0, 0.35, 0.65)",earliest20,0.08345752608047691,0.15052160953800298,0.21311475409836064,0.12950819672131147,32,0.4612518628912072,2.2277723498623625
"(0.0, 0.0, 0.35, 0.65)",month_latest,0.04504927264195214,0.10652275926794932,0.16799624589394652,0.08808071328015019,39,0.22524636320976069,2.5422834844643605
"(0.0, 0.0, 0.35, 0.65)",ais_group_random20,0.04936530324400564,0.11001410437235543,0.1612599905970851,0.08993888105312647,36,0.5007052186177715,2.135660352680472
"(0.0, 0.0, 0.4, 0.6)",random20,0.08345752608047691,0.1780923994038748,0.2444113263785395,0.1440387481371088,29,0.6028315946348733,1.7021072879153314
