retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
topk,10.0,,0.0,0.046215673141326186,0.09109176155391828,0.13529805760214333,0.07749497655726725
topk,5.0,,0.0,0.0361687876758205,0.08372404554588078,0.12525117213663764,0.06825184192900201
topk,3.0,,0.0,0.028801071667782986,0.07367716008037509,0.11051574012056263,0.058606831882116545
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.01942397856664434,0.0622906898861353,0.10381781647689216,0.04916275954454119
topk,10.0,,0.005,0.017414601473543203,0.06095110515740121,0.10113864701942397,0.04722036168787676
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.01942397856664434,0.06095110515740121,0.09243134628265237,0.04648359008707301
hybrid,3.0,"(0.4, 0.4, 0.2)",0.03,0.014735432016075016,0.06697923643670463,0.08908238446081715,0.045277963831212326
hybrid,3.0,"(0.5, 0.3, 0.2)",0.03,0.01406563965170797,0.06764902880107167,0.08774279973208306,0.044876088412592094
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.016075016744809108,0.056932350971198926,0.09778968519758875,0.044675150703281985
max,,,0.0,0.020093770931011386,0.0535833891493637,0.09243134628265237,0.04460817146684527
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.017414601473543203,0.05827193569993302,0.09109176155391828,0.044407233757535164
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.012056262558606833,0.06697923643670463,0.09042196918955124,0.044206296048225055
hybrid,5.0,"(0.5, 0.3, 0.2)",0.03,0.012726054922973878,0.06630944407233758,0.08975217682518419,0.04420629604822505
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.011386470194239785,0.06831882116543872,0.08908238446081715,0.04400535833891494
hybrid,3.0,"(0.6, 0.3, 0.1)",0.03,0.013395847287340924,0.06764902880107167,0.08439383791024782,0.04387139986604152
hybrid,3.0,"(0.3, 0.5, 0.2)",0.03,0.012056262558606833,0.06563965170797052,0.08908238446081715,0.043536503683858
max,,,0.03,0.013395847287340924,0.06095110515740121,0.08975217682518419,0.04293369055592766
hybrid,3.0,"(0.3, 0.5, 0.2)",0.02,0.012056262558606833,0.06430006697923643,0.08640321500334897,0.04259879437374414
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.016075016744809108,0.05492297387809779,0.09042196918955124,0.04259879437374414
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.016075016744809108,0.05425318151373074,0.09109176155391828,0.04253181513730743
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.013395847287340924,0.05760214333556597,0.09243134628265237,0.04246483590087073
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.015405224380442064,0.05492297387809779,0.09109176155391828,0.04239785666443402
hybrid,5.0,"(0.6, 0.3, 0.1)",0.03,0.010716677829872739,0.06430006697923643,0.087073007367716,0.0420629604822505
hybrid,10.0,"(0.5, 0.3, 0.2)",0.03,0.011386470194239785,0.0622906898861353,0.08774279973208306,0.041929002009377096
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.016075016744809108,0.052243804420629605,0.08975217682518419,0.04166108506363027
hybrid,3.0,"(0.4, 0.4, 0.2)",0.02,0.010046885465505693,0.06028131279303416,0.09243134628265237,0.04159410582719357
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.015405224380442064,0.0535833891493637,0.08640321500334897,0.04105827193569993
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.010046885465505693,0.06028131279303416,0.08908238446081715,0.04092431346282653
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.009377093101138647,0.058941728064300064,0.09176155391828533,0.04072337575351641
hybrid,10.0,"(0.6, 0.3, 0.1)",0.03,0.011386470194239785,0.06028131279303416,0.08372404554588078,0.0405224380442063
topk,3.0,,0.03,0.010046885465505693,0.06095110515740121,0.08573342263898191,0.04045545880776959
prototype,,,0.03,0.016075016744809108,0.0535833891493637,0.0810448760884126,0.04032150033489618
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.013395847287340924,0.052243804420629605,0.08975217682518419,0.040321500334896176
hybrid,3.0,"(0.5, 0.3, 0.2)",0.02,0.010716677829872739,0.05760214333556597,0.087073007367716,0.04005358338914937
hybrid,10.0,"(0.4, 0.4, 0.2)",0.03,0.010046885465505693,0.05827193569993302,0.087073007367716,0.03991962491627596
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.010046885465505693,0.058941728064300064,0.08439383791024782,0.039584728734092425
hybrid,5.0,"(0.6, 0.3, 0.1)",0.02,0.010046885465505693,0.05827193569993302,0.08439383791024782,0.039383791024782316
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.012056262558606833,0.050904219691895514,0.08908238446081715,0.0391158740790355
hybrid,3.0,"(0.6, 0.3, 0.1)",0.02,0.011386470194239785,0.055592766242464835,0.08372404554588078,0.039115874079035495
prototype,,,0.02,0.012726054922973878,0.05492297387809779,0.08037508372404555,0.038914936369725386
max,,,0.02,0.012056262558606833,0.05425318151373074,0.08305425318151373,0.038914936369725386
hybrid,5.0,"(0.5, 0.3, 0.2)",0.02,0.008037508372404554,0.05827193569993302,0.08573342263898191,0.038647019423978565
topk,10.0,,0.03,0.010716677829872739,0.05626255860683188,0.08171466845277964,0.03858004018754187
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.01406563965170797,0.04956463496316142,0.08305425318151373,0.038513060951105155
prototype,,,0.0,0.01406563965170797,0.04822505023442733,0.08372404554588078,0.03824514400535834
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.012056262558606833,0.05023442732752847,0.08573342263898191,0.038245144005358334
topk,5.0,,0.005,0.012056262558606833,0.052243804420629605,0.08238446081714669,0.038178164768921635
topk,10.0,,0.02,0.015405224380442064,0.05157401205626256,0.07434695244474213,0.038044206296048225
topk,3.0,,0.02,0.011386470194239785,0.0535833891493637,0.0810448760884126,0.037977227059611526
topk,10.0,,0.01,0.01406563965170797,0.048894842598794376,0.0810448760884126,0.037910247823174814
topk,5.0,,0.03,0.008037508372404554,0.05492297387809779,0.08640321500334897,0.037776289350301404
topk,5.0,,0.02,0.011386470194239785,0.050904219691895514,0.08238446081714669,0.037441393168117884
hybrid,10.0,"(0.6, 0.3, 0.1)",0.02,0.010046885465505693,0.050904219691895514,0.08573342263898191,0.037441393168117884
hybrid,3.0,"(0.3, 0.5, 0.2)",0.01,0.010716677829872739,0.050904219691895514,0.08372404554588078,0.03737441393168118
hybrid,3.0,"(0.3, 0.5, 0.2)",0.005,0.010716677829872739,0.050904219691895514,0.08305425318151373,0.03724045545880777
hybrid,3.0,"(0.4, 0.4, 0.2)",0.01,0.009377093101138647,0.05157401205626256,0.08506363027461487,0.03717347622237106
hybrid,5.0,"(0.3, 0.5, 0.2)",0.005,0.011386470194239785,0.047555257870060284,0.08573342263898191,0.03710649698593436
hybrid,10.0,"(0.3, 0.5, 0.2)",0.02,0.011386470194239785,0.04956463496316142,0.08238446081714669,0.03703951774949766
hybrid,5.0,"(0.3, 0.5, 0.2)",0.01,0.011386470194239785,0.05157401205626256,0.07903549899531145,0.036972538513060954
prototype,,,0.005,0.014735432016075016,0.04688546550569324,0.07702612190221031,0.036838580040187544
topk,3.0,,0.005,0.01406563965170797,0.05157401205626256,0.07166778298727394,0.036838580040187544
hybrid,3.0,"(0.4, 0.4, 0.2)",0.005,0.012056262558606833,0.04956463496316142,0.07970529135967849,0.036838580040187544
hybrid,10.0,"(0.4, 0.4, 0.2)",0.02,0.009377093101138647,0.050904219691895514,0.08439383791024782,0.036838580040187544
hybrid,10.0,"(0.5, 0.3, 0.2)",0.02,0.008707300736771601,0.052243804420629605,0.08372404554588078,0.03677160080375084
hybrid,5.0,"(0.6, 0.3, 0.1)",0.005,0.012726054922973878,0.047555257870060284,0.08037508372404555,0.03670462156731413
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.012056262558606833,0.04822505023442733,0.07970529135967849,0.03643670462156731
prototype,,,0.01,0.012726054922973878,0.044876088412592094,0.08171466845277964,0.0361687876758205
hybrid,5.0,"(0.5, 0.3, 0.2)",0.005,0.011386470194239785,0.047555257870060284,0.0810448760884126,0.0361687876758205
hybrid,10.0,"(0.4, 0.4, 0.2)",0.01,0.012726054922973878,0.04688546550569324,0.0783657066309444,0.03610180843938379
hybrid,5.0,"(0.4, 0.4, 0.2)",0.005,0.010046885465505693,0.047555257870060284,0.08372404554588078,0.03603482920294709
hybrid,3.0,"(0.5, 0.3, 0.2)",0.005,0.012726054922973878,0.046215673141326186,0.07903549899531145,0.03603482920294708
hybrid,3.0,"(0.6, 0.3, 0.1)",0.005,0.012726054922973878,0.04554588077695914,0.07903549899531145,0.03583389149363697
hybrid,10.0,"(0.3, 0.5, 0.2)",0.01,0.011386470194239785,0.04688546550569324,0.07970529135967849,0.03569993302076356
hybrid,3.0,"(0.5, 0.3, 0.2)",0.01,0.009377093101138647,0.048894842598794376,0.08037508372404555,0.035432016075016746
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.011386470194239785,0.04554588077695914,0.08037508372404555,0.035432016075016746
hybrid,3.0,"(0.6, 0.3, 0.1)",0.01,0.010046885465505693,0.04554588077695914,0.08305425318151373,0.035298057602143336
hybrid,5.0,"(0.4, 0.4, 0.2)",0.01,0.009377093101138647,0.047555257870060284,0.08171466845277964,0.035298057602143336
hybrid,10.0,"(0.5, 0.3, 0.2)",0.01,0.011386470194239785,0.04688546550569324,0.07702612190221031,0.035164099129269925
hybrid,5.0,"(0.5, 0.3, 0.2)",0.01,0.008707300736771601,0.04956463496316142,0.07903549899531145,0.03503014065639652
topk,5.0,,0.01,0.009377093101138647,0.05023442732752847,0.07568653717347622,0.03489618218352311
hybrid,10.0,"(0.6, 0.3, 0.1)",0.01,0.011386470194239785,0.043536503683858,0.07970529135967849,0.03469524447421299
hybrid,5.0,"(0.6, 0.3, 0.1)",0.01,0.009377093101138647,0.04420629604822505,0.08037508372404555,0.03402545210984595
max,,,0.01,0.012056262558606833,0.04420629604822505,0.07032819825853985,0.0333556597454789
topk,3.0,,0.01,0.008037508372404554,0.043536503683858,0.072337575351641,0.031547220361687875
max,,,0.005,0.012056262558606833,0.03750837240455459,0.06831882116543872,0.030944407233757538
