retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
topk,10.0,,0.0,0.03148024112525117,0.0810448760884126,0.11386470194239785,0.06282652377762893
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.028801071667782986,0.07032819825853985,0.1058271935699933,0.05666443402545211
topk,10.0,,0.005,0.02277294038847957,0.07032819825853985,0.10850636302746149,0.05418620227729404
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.02679169457468185,0.06764902880107167,0.10247823174815807,0.05418620227729404
topk,5.0,,0.0,0.02478231748158071,0.06563965170797052,0.10783657066309445,0.0536503683858004
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.026121902210314803,0.06697923643670463,0.10046885465505694,0.05324849296718018
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.02478231748158071,0.06496985934360348,0.0971198928332217,0.051306095110515745
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.02277294038847957,0.06296048225050234,0.10314802411252512,0.050904219691895514
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.02277294038847957,0.061620897521768254,0.0971198928332217,0.0492967180174146
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.02277294038847957,0.061620897521768254,0.09444072337575352,0.04876088412592097
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.02277294038847957,0.058941728064300064,0.0971198928332217,0.04849296718017414
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.021433355659745478,0.06095110515740121,0.09444072337575352,0.04789015405224381
topk,10.0,,0.01,0.017414601473543203,0.0622906898861353,0.10247823174815807,0.047890154052243804
topk,5.0,,0.005,0.022103148024112524,0.055592766242464835,0.10046885465505694,0.0478231748158071
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.022103148024112524,0.06028131279303416,0.09042196918955124,0.04722036168787676
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.020093770931011386,0.055592766242464835,0.10113864701942397,0.04695244474212994
topk,3.0,,0.0,0.020763563295378432,0.05626255860683188,0.09578030810448761,0.0464166108506363
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.02277294038847957,0.05760214333556597,0.08774279973208306,0.046215673141326186
hybrid,5.0,"(0.4, 0.4, 0.2)",0.005,0.024112525117213665,0.055592766242464835,0.08573342263898191,0.045880776959142666
hybrid,5.0,"(0.3, 0.5, 0.2)",0.005,0.020763563295378432,0.05492297387809779,0.09243134628265237,0.045344943067649024
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.01942397856664434,0.05425318151373074,0.09377093101138648,0.04474212993971869
hybrid,10.0,"(0.3, 0.5, 0.2)",0.01,0.02344273275284662,0.050904219691895514,0.08439383791024782,0.04387139986604153
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.022103148024112524,0.05291359678499665,0.08439383791024782,0.04380442062960482
hybrid,3.0,"(0.4, 0.4, 0.2)",0.005,0.02277294038847957,0.050904219691895514,0.08305425318151373,0.04326858673811118
max,,,0.0,0.018754186202277295,0.05492297387809779,0.08506363027461487,0.042866711319490956
prototype,,,0.0,0.02277294038847957,0.052243804420629605,0.07903549899531145,0.04286671131949095
hybrid,5.0,"(0.5, 0.3, 0.2)",0.005,0.022103148024112524,0.050904219691895514,0.08037508372404555,0.042397856664434026
topk,5.0,,0.01,0.017414601473543203,0.05291359678499665,0.0884125920964501,0.042263898191560616
hybrid,5.0,"(0.6, 0.3, 0.1)",0.005,0.021433355659745478,0.047555257870060284,0.08506363027461487,0.0419959812458138
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.017414601473543203,0.0535833891493637,0.08573342263898191,0.04192900200937709
prototype,,,0.005,0.02277294038847957,0.048894842598794376,0.07769591426657736,0.04159410582719357
hybrid,5.0,"(0.5, 0.3, 0.2)",0.01,0.02277294038847957,0.048894842598794376,0.07769591426657736,0.04159410582719357
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.018754186202277295,0.05157401205626256,0.08372404554588078,0.04159410582719357
hybrid,5.0,"(0.4, 0.4, 0.2)",0.01,0.020763563295378432,0.05023442732752847,0.08037508372404555,0.04152712659075687
hybrid,3.0,"(0.5, 0.3, 0.2)",0.005,0.021433355659745478,0.050904219691895514,0.07702612190221031,0.041393168117883454
hybrid,10.0,"(0.5, 0.3, 0.2)",0.01,0.021433355659745478,0.05023442732752847,0.07769591426657736,0.04132618888144675
hybrid,10.0,"(0.4, 0.4, 0.2)",0.01,0.021433355659745478,0.050904219691895514,0.07568653717347622,0.04112525117213664
hybrid,5.0,"(0.6, 0.3, 0.1)",0.01,0.020093770931011386,0.05023442732752847,0.07702612190221031,0.04052243804420629
hybrid,3.0,"(0.6, 0.3, 0.1)",0.005,0.021433355659745478,0.04554588077695914,0.08037508372404555,0.04045545880776959
topk,3.0,,0.005,0.01808439383791025,0.04688546550569324,0.08640321500334897,0.04038847957133289
topk,10.0,,0.02,0.016744809109176157,0.05023442732752847,0.08439383791024782,0.04032150033489618
hybrid,3.0,"(0.3, 0.5, 0.2)",0.005,0.017414601473543203,0.04822505023442733,0.08573342263898191,0.040321500334896176
hybrid,10.0,"(0.6, 0.3, 0.1)",0.01,0.020093770931011386,0.047555257870060284,0.07970529135967849,0.04025452109845948
hybrid,3.0,"(0.5, 0.3, 0.2)",0.01,0.021433355659745478,0.048894842598794376,0.07367716008037509,0.04012056262558607
prototype,,,0.01,0.020763563295378432,0.04956463496316142,0.07367716008037509,0.03998660415271266
hybrid,3.0,"(0.6, 0.3, 0.1)",0.01,0.020093770931011386,0.048894842598794376,0.07568653717347622,0.039852645679839246
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.01942397856664434,0.05023442732752847,0.07501674480910918,0.03978566644340255
hybrid,5.0,"(0.3, 0.5, 0.2)",0.01,0.01808439383791025,0.048894842598794376,0.07970529135967849,0.03965170797052914
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.017414601473543203,0.04956463496316142,0.07903549899531145,0.039383791024782316
hybrid,10.0,"(0.4, 0.4, 0.2)",0.02,0.020093770931011386,0.047555257870060284,0.07501674480910918,0.03931681178834562
hybrid,10.0,"(0.5, 0.3, 0.2)",0.02,0.020093770931011386,0.04688546550569324,0.07568653717347622,0.039249832551908906
hybrid,3.0,"(0.4, 0.4, 0.2)",0.01,0.017414601473543203,0.048894842598794376,0.07635632953784327,0.038647019423978565
prototype,,,0.03,0.01406563965170797,0.050904219691895514,0.0810448760884126,0.038513060951105155
hybrid,3.0,"(0.3, 0.5, 0.2)",0.01,0.016744809109176157,0.04822505023442733,0.07769591426657736,0.03837910247823175
prototype,,,0.02,0.014735432016075016,0.05291359678499665,0.07367716008037509,0.03797722705961152
hybrid,10.0,"(0.3, 0.5, 0.2)",0.02,0.018754186202277295,0.046215673141326186,0.07300736771600803,0.03784326858673811
hybrid,5.0,"(0.5, 0.3, 0.2)",0.02,0.016744809109176157,0.047555257870060284,0.07434695244474213,0.03750837240455459
hybrid,3.0,"(0.4, 0.4, 0.2)",0.02,0.015405224380442064,0.04822505023442733,0.07635632953784327,0.037441393168117884
hybrid,3.0,"(0.6, 0.3, 0.1)",0.02,0.015405224380442064,0.04688546550569324,0.07702612190221031,0.03717347622237106
hybrid,3.0,"(0.5, 0.3, 0.2)",0.02,0.016075016744809108,0.04688546550569324,0.07501674480910918,0.037106496985934365
hybrid,10.0,"(0.6, 0.3, 0.1)",0.02,0.015405224380442064,0.04822505023442733,0.07434695244474213,0.03703951774949765
hybrid,5.0,"(0.6, 0.3, 0.1)",0.02,0.016075016744809108,0.046215673141326186,0.07300736771600803,0.03650368385800402
topk,3.0,,0.01,0.01406563965170797,0.04420629604822505,0.07970529135967849,0.0362357669122572
hybrid,3.0,"(0.3, 0.5, 0.2)",0.02,0.015405224380442064,0.044876088412592094,0.07300736771600803,0.035766912257200266
topk,5.0,,0.02,0.015405224380442064,0.043536503683858,0.072337575351641,0.03523107836570663
hybrid,5.0,"(0.5, 0.3, 0.2)",0.03,0.01406563965170797,0.046215673141326186,0.0709979906229069,0.03509711989283322
max,,,0.03,0.013395847287340924,0.04420629604822505,0.07501674480910918,0.03496316141995981
hybrid,5.0,"(0.6, 0.3, 0.1)",0.03,0.014735432016075016,0.04420629604822505,0.0709979906229069,0.0348292029470864
hybrid,3.0,"(0.5, 0.3, 0.2)",0.03,0.015405224380442064,0.04219691895512391,0.0709979906229069,0.034561286001339585
topk,5.0,,0.03,0.013395847287340924,0.046215673141326186,0.06965840589417281,0.03449430676490288
topk,10.0,,0.03,0.012056262558606833,0.043536503683858,0.07568653717347622,0.03422638981915606
hybrid,3.0,"(0.6, 0.3, 0.1)",0.03,0.013395847287340924,0.044876088412592094,0.06965840589417281,0.03409243134628265
hybrid,10.0,"(0.4, 0.4, 0.2)",0.03,0.013395847287340924,0.04018754186202277,0.07568653717347622,0.03389149363697254
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.01406563965170797,0.04085733422638982,0.072337575351641,0.03375753516409913
hybrid,10.0,"(0.6, 0.3, 0.1)",0.03,0.015405224380442064,0.04018754186202277,0.06965840589417281,0.03369055592766243
hybrid,3.0,"(0.4, 0.4, 0.2)",0.03,0.014735432016075016,0.04085733422638982,0.07032819825853985,0.03369055592766242
hybrid,10.0,"(0.5, 0.3, 0.2)",0.03,0.013395847287340924,0.042866711319490956,0.07032819825853985,0.03362357669122572
max,,,0.005,0.012056262558606833,0.041527126590756865,0.07501674480910918,0.033489618218352314
topk,3.0,,0.02,0.010716677829872739,0.04554588077695914,0.07166778298727394,0.033355659745478904
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.01406563965170797,0.041527126590756865,0.06831882116543872,0.03315472203616879
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.013395847287340924,0.04018754186202277,0.07166778298727394,0.03308774279973208
max,,,0.02,0.011386470194239785,0.042866711319490956,0.07032819825853985,0.032618888144675146
max,,,0.01,0.010046885465505693,0.03951774949765573,0.072337575351641,0.031346282652377766
hybrid,3.0,"(0.3, 0.5, 0.2)",0.03,0.01406563965170797,0.03549899531145345,0.06764902880107167,0.031212324179504355
topk,3.0,,0.03,0.008707300736771601,0.041527126590756865,0.061620897521768254,0.029135967849966513
