retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
topk,10.0,,0.0,0.02344273275284662,0.07635632953784327,0.11855324849296718,0.058338914936369723
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.024112525117213665,0.07032819825853985,0.11386470194239785,0.05592766242464836
topk,10.0,,0.005,0.018754186202277295,0.06764902880107167,0.115874079035499,0.052846617548559946
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.021433355659745478,0.06296048225050234,0.10984594775619558,0.05157401205626256
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.016744809109176157,0.06965840589417281,0.10917615539182854,0.051105157401205636
topk,5.0,,0.0,0.020093770931011386,0.06764902880107167,0.10314802411252512,0.05097119892833222
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.018754186202277295,0.061620897521768254,0.11051574012056263,0.049966510381781654
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.01942397856664434,0.058941728064300064,0.1058271935699933,0.04855994641661085
topk,10.0,,0.01,0.01808439383791025,0.0622906898861353,0.10113864701942397,0.04795713328868051
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.020093770931011386,0.05760214333556597,0.10314802411252512,0.04795713328868051
topk,5.0,,0.005,0.017414601473543203,0.06496985934360348,0.09778968519758875,0.0477561955793704
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.015405224380442064,0.06430006697923643,0.10180843938379103,0.04735432016075017
topk,3.0,,0.0,0.01942397856664434,0.06095110515740121,0.09645010046885466,0.04728734092431346
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.016744809109176157,0.061620897521768254,0.10046885465505694,0.046952444742129944
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.016744809109176157,0.06028131279303416,0.10247823174815807,0.046952444742129944
hybrid,5.0,"(0.3, 0.5, 0.2)",0.005,0.017414601473543203,0.05961152042866711,0.09979906229068988,0.04655056932350971
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.01808439383791025,0.05425318151373074,0.10448760884125921,0.046215673141326186
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.01808439383791025,0.056932350971198926,0.09912926992632284,0.04594775619557937
hybrid,10.0,"(0.3, 0.5, 0.2)",0.01,0.016075016744809108,0.05760214333556597,0.09979906229068988,0.045277963831212326
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.015405224380442064,0.05961152042866711,0.09845947756195579,0.045277963831212326
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.01808439383791025,0.05425318151373074,0.09645010046885466,0.04460817146684528
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.016075016744809108,0.05827193569993302,0.09444072337575352,0.044407233757535164
hybrid,5.0,"(0.5, 0.3, 0.2)",0.005,0.016744809109176157,0.05425318151373074,0.09778968519758875,0.044206296048225055
hybrid,5.0,"(0.3, 0.5, 0.2)",0.01,0.016744809109176157,0.05492297387809779,0.09645010046885466,0.04413931681178835
hybrid,3.0,"(0.4, 0.4, 0.2)",0.005,0.014735432016075016,0.055592766242464835,0.09912926992632284,0.04387139986604152
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.016075016744809108,0.05425318151373074,0.0971198928332217,0.04373744139316812
hybrid,5.0,"(0.4, 0.4, 0.2)",0.005,0.015405224380442064,0.05492297387809779,0.09645010046885466,0.043469524447421304
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.016744809109176157,0.05157401205626256,0.09645010046885466,0.04313462826523778
