retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
topk,10.0,,0.0,0.034829202947086406,0.08439383791024782,0.115874079035499,0.06590756865371736
topk,10.0,,0.005,0.03281982585398526,0.07970529135967849,0.11319490957803081,0.06296048225050234
topk,5.0,,0.0,0.0361687876758205,0.07367716008037509,0.10314802411252512,0.0608171466845278
topk,10.0,,0.01,0.03014065639651708,0.07635632953784327,0.10448760884125921,0.058874748827863366
topk,3.0,,0.0,0.030810448760884127,0.06831882116543872,0.10247823174815807,0.05639651707970529
topk,5.0,,0.005,0.033489618218352314,0.06630944407233758,0.09645010046885466,0.05592766242464836
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.02813127930341594,0.07300736771600803,0.09979906229068988,0.05592766242464836
topk,10.0,,0.02,0.02813127930341594,0.06630944407233758,0.09645010046885466,0.05324849296718017
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.02478231748158071,0.06898861352980576,0.10046885465505694,0.05318151373074347
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.02478231748158071,0.06764902880107167,0.0971198928332217,0.052109845947756195
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.02679169457468185,0.06296048225050234,0.0971198928332217,0.05170797052913596
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.02344273275284662,0.06697923643670463,0.09912926992632284,0.051640991292699265
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.021433355659745478,0.06764902880107167,0.09845947756195579,0.0507032819825854
topk,5.0,,0.01,0.029470864032150032,0.06028131279303416,0.08774279973208306,0.050368385800401885
topk,3.0,,0.005,0.02344273275284662,0.06496985934360348,0.09310113864701942,0.04983255190890824
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.018754186202277295,0.06898861352980576,0.09511051574012057,0.04909578030810449
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.02277294038847957,0.061620897521768254,0.09511051574012057,0.04889484259879438
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.018754186202277295,0.06496985934360348,0.09645010046885466,0.048158070997990625
hybrid,5.0,"(0.3, 0.5, 0.2)",0.005,0.020763563295378432,0.06430006697923643,0.09243134628265237,0.04815807099799062
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.020093770931011386,0.0622906898861353,0.09444072337575352,0.04762223710649699
hybrid,10.0,"(0.3, 0.5, 0.2)",0.01,0.020093770931011386,0.06296048225050234,0.09109176155391828,0.04715338245144005
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.01942397856664434,0.0622906898861353,0.09176155391828533,0.04675150703281983
hybrid,5.0,"(0.4, 0.4, 0.2)",0.005,0.020763563295378432,0.05961152042866711,0.08975217682518419,0.046215673141326186
hybrid,10.0,"(0.4, 0.4, 0.2)",0.01,0.01942397856664434,0.06028131279303416,0.08774279973208306,0.04534494306764904
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.020763563295378432,0.05492297387809779,0.08908238446081715,0.044675150703281985
topk,5.0,,0.02,0.02478231748158071,0.05626255860683188,0.07635632953784327,0.044541192230408574
topk,3.0,,0.01,0.020763563295378432,0.056932350971198926,0.08506363027461487,0.04447421299397187
topk,10.0,,0.03,0.022103148024112524,0.05425318151373074,0.08506363027461487,0.04434025452109846
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.018754186202277295,0.05760214333556597,0.08774279973208306,0.044206296048225055
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.016744809109176157,0.05961152042866711,0.0884125920964501,0.043938379102478234
hybrid,3.0,"(0.3, 0.5, 0.2)",0.005,0.020763563295378432,0.055592766242464835,0.08372404554588078,0.04380442062960482
hybrid,5.0,"(0.3, 0.5, 0.2)",0.01,0.01942397856664434,0.05760214333556597,0.08305425318151373,0.043603482920294714
hybrid,3.0,"(0.4, 0.4, 0.2)",0.005,0.018754186202277295,0.05492297387809779,0.08439383791024782,0.042732752846617546
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.020763563295378432,0.050904219691895514,0.08439383791024782,0.04253181513730743
hybrid,5.0,"(0.5, 0.3, 0.2)",0.005,0.01808439383791025,0.055592766242464835,0.08171466845277964,0.0420629604822505
hybrid,10.0,"(0.3, 0.5, 0.2)",0.02,0.017414601473543203,0.056932350971198926,0.0810448760884126,0.0419959812458138
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.016075016744809108,0.05626255860683188,0.08506363027461487,0.04192900200937709
hybrid,3.0,"(0.3, 0.5, 0.2)",0.01,0.018754186202277295,0.05425318151373074,0.0783657066309444,0.04132618888144675
hybrid,10.0,"(0.5, 0.3, 0.2)",0.01,0.018754186202277295,0.05291359678499665,0.07903549899531145,0.04105827193569993
hybrid,3.0,"(0.5, 0.3, 0.2)",0.005,0.017414601473543203,0.05291359678499665,0.0810448760884126,0.04079035498995312
hybrid,5.0,"(0.4, 0.4, 0.2)",0.01,0.016744809109176157,0.05425318151373074,0.07970529135967849,0.040589417280643
hybrid,5.0,"(0.6, 0.3, 0.1)",0.005,0.017414601473543203,0.052243804420629605,0.08037508372404555,0.04045545880776959
prototype,,,0.03,0.018754186202277295,0.05492297387809779,0.0709979906229069,0.04005358338914936
hybrid,10.0,"(0.4, 0.4, 0.2)",0.02,0.01808439383791025,0.05291359678499665,0.07501674480910918,0.03991962491627596
hybrid,10.0,"(0.6, 0.3, 0.1)",0.01,0.020093770931011386,0.04956463496316142,0.07367716008037509,0.03965170797052914
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.016744809109176157,0.05023442732752847,0.07501674480910918,0.038446081714668456
hybrid,5.0,"(0.6, 0.3, 0.1)",0.01,0.018754186202277295,0.04554588077695914,0.07367716008037509,0.037776289350301404
hybrid,5.0,"(0.5, 0.3, 0.2)",0.01,0.014735432016075016,0.05157401205626256,0.07434695244474213,0.037709310113864705
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.017414601473543203,0.047555257870060284,0.07300736771600803,0.037575351640991295
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.017414601473543203,0.047555257870060284,0.072337575351641,0.037441393168117884
max,,,0.0,0.01808439383791025,0.04554588077695914,0.07300736771600803,0.037307434695244474
hybrid,3.0,"(0.4, 0.4, 0.2)",0.01,0.015405224380442064,0.04688546550569324,0.07702612190221031,0.03717347622237106
hybrid,10.0,"(0.5, 0.3, 0.2)",0.02,0.018754186202277295,0.04688546550569324,0.06831882116543872,0.037106496985934365
topk,3.0,,0.02,0.016744809109176157,0.044876088412592094,0.07568653717347622,0.036972538513060954
hybrid,3.0,"(0.5, 0.3, 0.2)",0.01,0.016075016744809108,0.047555257870060284,0.0709979906229069,0.03650368385800402
