retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
prototype,,,0.03,0.04822505023442733,0.09444072337575352,0.130609511051574,0.07856664434025451
topk,10.0,,0.0,0.03750837240455459,0.07568653717347622,0.11252511721366376,0.06396517079705291
topk,5.0,,0.0,0.02813127930341594,0.07568653717347622,0.10515740120562625,0.05780308104487608
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.02478231748158071,0.07434695244474213,0.11185532484929672,0.05706630944407233
topk,3.0,,0.0,0.02478231748158071,0.07367716008037509,0.10783657066309445,0.05606162089752177
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.01942397856664434,0.0709979906229069,0.10850636302746149,0.052712659075686535
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.01808439383791025,0.06898861352980576,0.10984594775619558,0.05170797052913597
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.022103148024112524,0.06563965170797052,0.10381781647689216,0.051507032819825854
prototype,,,0.02,0.024112525117213665,0.06430006697923643,0.0971198928332217,0.0507702612190221
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.021433355659745478,0.06028131279303416,0.10649698593436034,0.05010046885465506
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.01808439383791025,0.06363027461486939,0.10314802411252512,0.048760884125920965
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.01942397856664434,0.06296048225050234,0.09979906229068988,0.04855994641661085
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.020763563295378432,0.06028131279303416,0.09845947756195579,0.048158070997990625
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.022103148024112524,0.05760214333556597,0.09845947756195579,0.048024112525117214
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.020763563295378432,0.05827193569993302,0.10046885465505694,0.04795713328868051
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.024112525117213665,0.05492297387809779,0.09310113864701942,0.04715338245144005
