retrieval,topk,weights,alpha,R@1,R@3,R@5,Score
prototype,,,0.03,0.056932350971198926,0.11118553248492967,0.13730743469524448,0.08928332217012726
hybrid,3.0,"(0.6, 0.3, 0.1)",0.03,0.04554588077695914,0.10180843938379103,0.13998660415271266,0.0813127930341594
hybrid,5.0,"(0.6, 0.3, 0.1)",0.03,0.043536503683858,0.0971198928332217,0.13730743469524448,0.07836570663094442
hybrid,3.0,"(0.5, 0.3, 0.2)",0.03,0.041527126590756865,0.09979906229068988,0.13529805760214333,0.07776289350301406
hybrid,5.0,"(0.5, 0.3, 0.2)",0.03,0.04085733422638982,0.09377093101138648,0.13529805760214333,0.07561955793703952
hybrid,3.0,"(0.4, 0.4, 0.2)",0.03,0.038178164768921635,0.09377093101138648,0.1319490957803081,0.07361018084393839
hybrid,10.0,"(0.6, 0.3, 0.1)",0.03,0.034829202947086406,0.08975217682518419,0.1319490957803081,0.07073007367716008
hybrid,5.0,"(0.4, 0.4, 0.2)",0.03,0.03549899531145345,0.08573342263898191,0.13395847287340926,0.07026121902210315
hybrid,3.0,"(0.3, 0.5, 0.2)",0.03,0.03415941058271936,0.0884125920964501,0.12659075686537175,0.06892163429336906
hybrid,10.0,"(0.5, 0.3, 0.2)",0.03,0.03415941058271936,0.08439383791024782,0.130609511051574,0.06851975887474883
prototype,,,0.02,0.032150033489618215,0.08305425318151373,0.11654387139986604,0.06430006697923643
hybrid,5.0,"(0.3, 0.5, 0.2)",0.03,0.028801071667782986,0.08037508372404555,0.11855324849296718,0.06222371064969859
max,,,0.03,0.027461486939048894,0.08171466845277964,0.11319490957803081,0.060884125920964496
topk,10.0,,0.0,0.029470864032150032,0.07568653717347622,0.11654387139986604,0.06075016744809109
topk,5.0,,0.0,0.029470864032150032,0.07568653717347622,0.10917615539182854,0.0592766242464836
hybrid,10.0,"(0.4, 0.4, 0.2)",0.03,0.02478231748158071,0.07501674480910918,0.12190221031480242,0.0592766242464836
hybrid,10.0,"(0.3, 0.5, 0.2)",0.0,0.025452109845947757,0.07300736771600803,0.10381781647689216,0.05539182853315472
hybrid,10.0,"(0.3, 0.5, 0.2)",0.03,0.020093770931011386,0.072337575351641,0.10314802411252512,0.052377762893503016
topk,3.0,,0.0,0.02277294038847957,0.06630944407233758,0.10448760884125921,0.05217682518419289
topk,3.0,,0.03,0.01942397856664434,0.06831882116543872,0.10046885465505694,0.05030140656396517
hybrid,10.0,"(0.4, 0.4, 0.2)",0.0,0.01942397856664434,0.061620897521768254,0.10113864701942397,0.04842598794373744
topk,5.0,,0.03,0.020093770931011386,0.06363027461486939,0.09444072337575352,0.04802411252511722
hybrid,5.0,"(0.3, 0.5, 0.2)",0.0,0.01942397856664434,0.06028131279303416,0.10113864701942397,0.04802411252511722
hybrid,10.0,"(0.6, 0.3, 0.1)",0.0,0.021433355659745478,0.05760214333556597,0.09511051574012057,0.04701942397856665
hybrid,3.0,"(0.6, 0.3, 0.1)",0.02,0.016744809109176157,0.06296048225050234,0.09511051574012057,0.0462826523777629
hybrid,10.0,"(0.5, 0.3, 0.2)",0.0,0.01942397856664434,0.056932350971198926,0.09511051574012057,0.04581379772270597
max,,,0.0,0.01942397856664434,0.05425318151373074,0.09377093101138648,0.04474212993971869
hybrid,5.0,"(0.4, 0.4, 0.2)",0.0,0.018754186202277295,0.05492297387809779,0.09444072337575352,0.04474212993971868
hybrid,5.0,"(0.6, 0.3, 0.1)",0.0,0.021433355659745478,0.055592766242464835,0.08640321500334897,0.044675150703281985
hybrid,3.0,"(0.5, 0.3, 0.2)",0.02,0.01406563965170797,0.06028131279303416,0.09578030810448761,0.04427327528466175
topk,10.0,,0.03,0.01942397856664434,0.05626255860683188,0.087073007367716,0.04400535833891493
hybrid,5.0,"(0.5, 0.3, 0.2)",0.0,0.018754186202277295,0.05626255860683188,0.0884125920964501,0.043938379102478234
hybrid,3.0,"(0.3, 0.5, 0.2)",0.0,0.017414601473543203,0.052243804420629605,0.09578030810448761,0.043536503683858
hybrid,5.0,"(0.6, 0.3, 0.1)",0.02,0.013395847287340924,0.058941728064300064,0.09042196918955124,0.04246483590087073
topk,10.0,,0.005,0.018754186202277295,0.05291359678499665,0.08439383791024782,0.042129939718687205
max,,,0.02,0.01406563965170797,0.055592766242464835,0.087073007367716,0.04112525117213664
hybrid,3.0,"(0.4, 0.4, 0.2)",0.02,0.012056262558606833,0.05626255860683188,0.09042196918955124,0.04099129269926323
hybrid,3.0,"(0.6, 0.3, 0.1)",0.0,0.016075016744809108,0.05291359678499665,0.08372404554588078,0.04065639651707971
hybrid,5.0,"(0.5, 0.3, 0.2)",0.02,0.012056262558606833,0.056932350971198926,0.08774279973208306,0.04065639651707971
hybrid,3.0,"(0.5, 0.3, 0.2)",0.0,0.01406563965170797,0.05425318151373074,0.08573342263898191,0.04045545880776959
hybrid,3.0,"(0.4, 0.4, 0.2)",0.0,0.016744809109176157,0.04822505023442733,0.08640321500334897,0.04012056262558607
hybrid,3.0,"(0.3, 0.5, 0.2)",0.02,0.012726054922973878,0.0535833891493637,0.08372404554588078,0.03918285331547221
hybrid,10.0,"(0.6, 0.3, 0.1)",0.02,0.010716677829872739,0.05961152042866711,0.07903549899531145,0.0390488948425988
hybrid,5.0,"(0.4, 0.4, 0.2)",0.02,0.011386470194239785,0.055592766242464835,0.08305425318151373,0.038981915606162085
hybrid,10.0,"(0.4, 0.4, 0.2)",0.005,0.016744809109176157,0.047555257870060284,0.07702612190221031,0.038044206296048225
prototype,,,0.01,0.015405224380442064,0.052243804420629605,0.07300736771600803,0.03797722705961152
hybrid,10.0,"(0.3, 0.5, 0.2)",0.005,0.015405224380442064,0.05023442732752847,0.07568653717347622,0.037910247823174814
topk,10.0,,0.01,0.015405224380442064,0.048894842598794376,0.07635632953784327,0.037642330877428
hybrid,10.0,"(0.5, 0.3, 0.2)",0.02,0.010046885465505693,0.055592766242464835,0.0783657066309444,0.03737441393168117
hybrid,5.0,"(0.3, 0.5, 0.2)",0.02,0.008707300736771601,0.055592766242464835,0.0810448760884126,0.037240455458807775
topk,5.0,,0.005,0.01406563965170797,0.050904219691895514,0.07367716008037509,0.03703951774949765
hybrid,10.0,"(0.5, 0.3, 0.2)",0.005,0.016744809109176157,0.04554588077695914,0.07434695244474213,0.03690555927662425
hybrid,10.0,"(0.6, 0.3, 0.1)",0.005,0.01808439383791025,0.042866711319490956,0.07367716008037509,0.03663764233087743
prototype,,,0.005,0.01808439383791025,0.04554588077695914,0.0622906898861353,0.03516409912926993
